ENTITY_ID,CORTE,MOTIVO
ENT_0012,MAR2022,Sin dato financiero dentro de 3 meses antes del corte
ENT_0014,MAR2022,Sin dato financiero dentro de 3 meses antes del corte
ENT_0014,MAR2023,Sin dato financiero dentro de 3 meses antes del corte
ENT_0014,MAR2024,Sin dato financiero dentro de 3 meses antes del corte
ENT_0014,SEP2022,Sin dato financiero dentro de 3 meses antes del corte
ENT_0014,SEP2023,Sin dato financiero dentro de 3 meses antes del corte
ENT_0014,SEP2024,Sin dato financiero dentro de 3 meses antes del corte
ENT_0017,MAR2022,Sin dato financiero dentro de 3 meses antes del corte
ENT_0017,MAR2023,Sin dato financiero dentro de 3 meses antes del corte
ENT_0017,MAR2024,Sin dato financiero dentro de 3 meses antes del corte
ENT_0017,MAR2025,Sin dato financiero dentro de 3 meses antes del corte
ENT_0017,SEP2022,Sin dato financiero dentro de 3 meses antes del corte
ENT_0017,SEP2023,Sin dato financiero dentro de 3 meses antes del corte
ENT_0017,SEP2024,Sin dato financiero dentro de 3 meses antes del corte
ENT_0035,SEP2025,Sin dato financiero dentro de 3 meses antes del corte
ENT_0036,SEP2025,Sin dato financiero dentro de 3 meses antes del corte
ENT_0045,MAR2024,Sin dato financiero dentro de 3 meses antes del corte
ENT_0045,MAR2025,Sin dato financiero dentro de 3 meses antes del corte
ENT_0045,SEP2023,Sin dato financiero dentro de 3 meses antes del corte
ENT_0045,SEP2024,Sin dato financiero dentro de 3 meses antes del corte
